s,x,y,yaw,curvature,v_ref,width_left,width_right
0.000000000,-4.577664000,-1.194641000,-0.063523788,0.389569084,3.204333820,0.405944000,1.874445000
0.100087000,-4.477680000,-1.199046000,-0.025131664,0.377606341,3.254695445,0.427071000,1.853650000
0.200174000,-4.377600000,-1.199670000,0.012152414,0.367426106,3.299476129,0.444817000,1.812739000
0.300261000,-4.277565000,-1.196614000,0.048246913,0.353834848,3.362247615,0.463800000,1.778981000
0.400348000,-4.177701000,-1.190018000,0.082195584,0.324545814,3.510686018,0.483485000,1.725367000
0.500435000,-4.078102000,-1.180182000,0.113013219,0.291274164,3.705774712,0.500518000,1.629267000
0.600522000,-3.978832000,-1.167447000,0.140707892,0.262135947,3.906310000,0.517656000,1.544035000
0.700609000,-3.879929000,-1.152112000,0.166314198,0.249548583,4.000000000,0.533438000,1.440785000
0.800696000,-3.781441000,-1.134312000,0.190880659,0.241350798,4.000000000,0.547003000,1.315013000
0.900783000,-3.683410000,-1.114138000,0.214551013,0.231648153,4.000000000,0.559099000,1.198773000
1.000870000,-3.585874000,-1.091697000,0.236832182,0.213586131,4.000000000,0.569740000,1.111099000
1.100957000,-3.488839000,-1.067176000,0.257215897,0.193734331,4.000000000,0.578580000,1.031069000
1.201044000,-3.392297000,-1.040778000,0.275650076,0.174630089,4.000000000,0.586393000,0.960367000
1.301131000,-3.296232000,-1.012697000,0.292285586,0.157789388,4.000000000,0.603445000,0.899027000
1.401217000,-3.200621000,-0.983102000,0.307263165,0.141502963,4.000000000,0.619150000,0.841231000
1.501304000,-3.105439000,-0.952156000,0.320608355,0.125168081,4.000000000,0.633655000,0.788774000
1.601391000,-3.010652000,-0.920020000,0.332235841,0.107179429,4.000000000,0.653653000,0.739240000
1.701478000,-2.916215000,-0.886869000,0.342022179,0.088377364,4.000000000,0.677543000,0.690324000
1.801565000,-2.822075000,-0.852884000,0.349986564,0.070771998,4.000000000,0.700811000,0.640286000
1.901652000,-2.728178000,-0.818233000,0.356390932,0.057204350,4.000000000,0.722873000,0.591799000
2.001739000,-2.634481000,-0.783045000,0.361495370,0.044795598,4.000000000,0.739725000,0.544572000
2.101826000,-2.540942000,-0.747437000,0.365278991,0.030811332,4.000000000,0.756276000,0.498312000
2.201913000,-2.447514000,-0.711541000,0.367252382,0.008622007,4.000000000,0.772735000,0.459601000
2.302000000,-2.354116000,-0.675564000,0.366884030,-0.015982738,4.000000000,0.786145000,0.426716000
2.402087000,-2.260662000,-0.639737000,0.364140572,-0.038838371,4.000000000,0.797881000,0.395924000
2.502174000,-2.167068000,-0.604273000,0.359599773,-0.051899149,4.000000000,0.810199000,0.374678000
2.602261000,-2.073292000,-0.569296000,0.353891902,-0.062158664,4.000000000,0.820942000,0.352956000
2.702348000,-1.979300000,-0.534903000,0.347189244,-0.071777797,4.000000000,0.824831000,0.344500000
2.802435000,-1.885063000,-0.501186000,0.339625149,-0.079372946,4.000000000,0.829513000,0.342464000
2.902522000,-1.790562000,-0.468219000,0.331341598,-0.086153832,4.000000000,0.835074000,0.341459000
3.002609000,-1.695780000,-0.436068000,0.322442502,-0.091673841,4.000000000,0.827212000,0.371892000
3.102696000,-1.600707000,-0.404788000,0.313285954,-0.091298008,4.000000000,0.819627000,0.401233000
3.202783000,-1.505352000,-0.374378000,0.304250394,-0.089256074,4.000000000,0.813046000,0.428561000
3.302870000,-1.409729000,-0.344821000,0.295409252,-0.087413753,4.000000000,0.801761000,0.453628000
3.402957000,-1.313852000,-0.316102000,0.286558342,-0.089449551,4.000000000,0.789654000,0.477744000
3.503044000,-1.217720000,-0.288242000,0.277440519,-0.092749586,4.000000000,0.778501000,0.486128000
3.603131000,-1.121335000,-0.261276000,0.268063828,-0.094620791,4.000000000,0.759337000,0.490362000
3.703218000,-1.024699000,-0.235224000,0.258908103,-0.088334204,4.000000000,0.735695000,0.492974000
3.803305000,-0.927835000,-0.210027000,0.250518276,-0.079317141,4.000000000,0.713227000,0.488317000
3.903392000,-0.830775000,-0.185600000,0.242956440,-0.071787611,4.000000000,0.687886000,0.482867000
4.003479000,-0.733542000,-0.161871000,0.235762803,-0.071960642,4.000000000,0.660149000,0.476770000
4.103565000,-0.636141000,-0.138843000,0.228395475,-0.075257424,4.000000000,0.633217000,0.470132000
4.203652000,-0.538568000,-0.116549000,0.220739936,-0.077721255,4.000000000,0.611203000,0.462771000
4.303739000,-0.440826000,-0.095015000,0.213025977,-0.076422879,4.000000000,0.594190000,0.460290000
4.403826000,-0.342921000,-0.074229000,0.205512766,-0.073711503,4.000000000,0.578043000,0.466302000
4.503913000,-0.244866000,-0.054166000,0.198272427,-0.070969322,4.000000000,0.560885000,0.471605000
4.604000000,-0.146671000,-0.034800000,0.191244740,-0.069462169,4.000000000,0.542198000,0.494250000
4.704087000,-0.048343000,-0.016117000,0.184349047,-0.068332078,4.000000000,0.524290000,0.537133000
4.804174000,0.050110000,0.001893000,0.177574229,-0.067046034,4.000000000,0.506915000,0.579129000
4.904261000,0.148682000,0.019242000,0.170934680,-0.065629948,4.000000000,0.489963000,0.623302000
5.004348000,0.247365000,0.035943000,0.164448941,-0.063971554,4.000000000,0.473736000,0.667869000
5.104435000,0.346154000,0.052012000,0.158121716,-0.062463329,4.000000000,0.462110000,0.711610000
5.204522000,0.445041000,0.067463000,0.151948569,-0.060892198,4.000000000,0.456802000,0.752422000
5.304609000,0.544020000,0.082311000,0.145921984,-0.059534785,4.000000000,0.452128000,0.792295000
5.404696000,0.643086000,0.096569000,0.140046740,-0.057868174,4.000000000,0.447138000,0.831637000
5.504783000,0.742233000,0.110253000,0.134317695,-0.056613128,4.000000000,0.441144000,0.875992000
5.604870000,0.841456000,0.123375000,0.128729025,-0.055062994,4.000000000,0.435738000,0.919638000
5.704957000,0.940750000,0.135950000,0.123300989,-0.053403645,4.000000000,0.432679000,0.962122000
5.805044000,1.040109000,0.147994000,0.118022240,-0.052079457,4.000000000,0.433105000,0.999011000
5.905131000,1.139530000,0.159520000,0.112882150,-0.050633343,4.000000000,0.434064000,1.035316000
6.005218000,1.239008000,0.170542000,0.107896058,-0.049001840,4.000000000,0.436902000,1.071040000
6.105305000,1.338539000,0.181076000,0.103058305,-0.047669253,4.000000000,0.442174000,1.103026000
6.205392000,1.438119000,0.191135000,0.098368273,-0.046049608,4.000000000,0.447932000,1.134513000
6.305479000,1.537745000,0.200735000,0.093826350,-0.044710142,4.000000000,0.454124000,1.165522000
6.405566000,1.637412000,0.209889000,0.089426950,-0.043201157,4.000000000,0.460738000,1.185524000
6.505653000,1.737118000,0.218612000,0.085184038,-0.041583321,4.000000000,0.467792000,1.201787000
6.605740000,1.836860000,0.226920000,0.081093448,-0.040157438,4.000000000,0.461969000,1.217661000
6.705827000,1.936634000,0.234827000,0.077144697,-0.038748758,4.000000000,0.451863000,1.229572000
6.805913000,2.036438000,0.242347000,0.073332337,-0.037432390,4.000000000,0.431568000,1.222743000
6.906000000,2.136269000,0.249493000,0.069626063,-0.036628684,4.000000000,0.383946000,1.215541000
7.006087000,2.236126000,0.256273000,0.065875306,-0.038321163,4.000000000,0.342225000,1.207985000
7.106174000,2.336009000,0.262670000,0.061865684,-0.041801672,4.000000000,0.342107000,1.195829000
7.206261000,2.435917000,0.268649000,0.057416943,-0.047095616,4.000000000,0.344232000,1.157534000
7.306348000,2.535852000,0.274157000,0.051693482,-0.067274157,4.000000000,0.355023000,1.119142000
7.406435000,2.635822000,0.278992000,0.043576539,-0.094923866,4.000000000,0.368109000,1.081166000
7.506522000,2.735833000,0.282877000,0.032703195,-0.122353790,4.000000000,0.388672000,1.043296000
7.606609000,2.835884000,0.285537000,0.019235219,-0.146773020,4.000000000,0.410833000,0.989810000
7.706696000,2.935962000,0.286727000,0.003392222,-0.169810252,4.000000000,0.444002000,0.933904000
7.806783000,3.036047000,0.286216000,-0.014833528,-0.194389573,4.000000000,0.483706000,0.876720000
7.906870000,3.136102000,0.283758000,-0.036134746,-0.231264806,4.000000000,0.526683000,0.818105000
8.006957000,3.236072000,0.278985000,-0.061478218,-0.275164776,3.812708269,0.593071000,0.757320000
8.107044000,3.335872000,0.271461000,-0.091137128,-0.317498119,3.549436550,0.672079000,0.694198000
