# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 7.2125
# raceline_length_m: 31.3272
# generated: 2026-07-24 22:33:46
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;dist_left_m;dist_right_m
0.000000;-4.577664;-1.194641;-1.634070;0.388222;3.776467;2.620954;0.405944;1.874445
0.100087;-4.477680;-1.199046;-1.595751;0.377548;3.845302;2.567859;0.427071;1.853650
0.200174;-4.377600;-1.199670;-1.558479;0.367341;3.911568;2.521902;0.444817;1.812739
0.300261;-4.277565;-1.196614;-1.522199;0.357728;3.975574;2.475268;0.463800;1.778981
0.400348;-4.177701;-1.190018;-1.488044;0.324528;4.037409;2.759963;0.483485;1.725367
0.500435;-4.078102;-1.180182;-1.457232;0.291216;4.105258;3.002695;0.500518;1.629267
0.600522;-3.978832;-1.167447;-1.429735;0.258331;4.177823;3.207853;0.517656;1.544035
0.700609;-3.879929;-1.152112;-1.404343;0.249567;4.253979;3.166809;0.533438;1.440785
0.800696;-3.781441;-1.134312;-1.379776;0.241371;4.327845;3.128005;0.547003;1.315013
0.900783;-3.683410;-1.114138;-1.356023;0.233298;4.399590;3.095184;0.559099;1.198773
1.000870;-3.585874;-1.091697;-1.333637;0.213690;4.469448;3.182644;0.569740;1.111099
1.100957;-3.488839;-1.067176;-1.313246;0.193789;4.540160;3.266698;0.578580;1.031069
1.201044;-3.392297;-1.040778;-1.294841;0.174022;4.611611;3.342297;0.586393;0.960367
1.301131;-3.296232;-1.012697;-1.278244;0.157745;4.683588;3.384469;0.603445;0.899027
1.401217;-3.200621;-0.983102;-1.263264;0.141607;4.755363;3.421936;0.619150;0.841231
1.501304;-3.105439;-0.952156;-1.249897;0.125504;4.826848;3.454514;0.633655;0.788774
1.601391;-3.010652;-0.920020;-1.238253;0.107053;4.897955;3.494074;0.653653;0.739240
1.701478;-2.916215;-0.886869;-1.228468;0.088477;4.968842;3.523664;0.677543;0.690324
1.801565;-2.822075;-0.852884;-1.220542;0.069915;5.039319;3.541274;0.700811;0.640286
1.901652;-2.728178;-0.818233;-1.214198;0.057190;5.109169;3.528812;0.722873;0.591799
2.001739;-2.634481;-0.783045;-1.209093;0.044820;5.177836;3.510307;0.739725;0.544572
2.101826;-2.540942;-0.747437;-1.205226;0.032450;5.245250;3.486292;0.756276;0.498312
2.201913;-2.447514;-0.711541;-1.203132;0.008628;5.311357;3.460286;0.772735;0.459601
2.302000;-2.354116;-0.675564;-1.203502;-0.016023;5.376167;3.370197;0.786145;0.426716
2.402087;-2.260662;-0.639737;-1.206339;-0.040674;5.438548;3.289836;0.797881;0.395924
2.502174;-2.167068;-0.604273;-1.211026;-0.051954;5.498758;3.204853;0.810199;0.374678
2.602261;-2.073292;-0.569296;-1.216735;-0.062124;5.556786;3.111587;0.820942;0.352956
2.702348;-1.979300;-0.534903;-1.223462;-0.072295;5.612551;3.027517;0.824831;0.344500
2.802435;-1.885063;-0.501186;-1.231063;-0.079327;5.666283;2.940554;0.829513;0.342464
2.902522;-1.790562;-0.468219;-1.239340;-0.086074;5.717987;2.848736;0.835074;0.341459
3.002609;-1.695780;-0.436068;-1.248293;-0.092827;5.767636;2.804512;0.827212;0.371892
3.102696;-1.600707;-0.404788;-1.257551;-0.091399;5.816099;2.772121;0.819627;0.401233
3.202783;-1.505352;-0.374378;-1.266585;-0.089111;5.863610;2.747311;0.813046;0.428561
3.302870;-1.409729;-0.344821;-1.275389;-0.086831;5.910318;2.703306;0.801761;0.453628
3.402957;-1.313852;-0.316102;-1.284187;-0.089483;5.955921;2.636869;0.789654;0.477744
3.503044;-1.217720;-0.288242;-1.293305;-0.092725;6.000069;2.569189;0.778501;0.486128
3.603131;-1.121335;-0.261276;-1.302748;-0.095975;6.042773;2.530171;0.759337;0.490362
3.703218;-1.024699;-0.235224;-1.312036;-0.088369;6.084536;2.558326;0.735695;0.492974
3.803305;-0.927835;-0.210027;-1.320429;-0.079355;6.126475;2.592381;0.713227;0.488317
3.903392;-0.830775;-0.185600;-1.327921;-0.070350;6.168681;2.608435;0.687886;0.482867
4.003479;-0.733542;-0.161871;-1.334979;-0.072024;6.210858;2.551187;0.660149;0.476770
4.103565;-0.636141;-0.138843;-1.342348;-0.075217;6.251835;2.492917;0.633217;0.470132
4.203652;-0.538568;-0.116549;-1.350036;-0.078413;6.291618;2.459134;0.611203;0.462771
4.303739;-0.440826;-0.095015;-1.357819;-0.076424;6.330617;2.441547;0.594190;0.460290
4.403826;-0.342921;-0.074229;-1.365329;-0.073640;6.369101;2.430380;0.578043;0.466302
4.503913;-0.244866;-0.054166;-1.372560;-0.070862;6.407179;2.419200;0.560885;0.471605
4.604000;-0.146671;-0.034800;-1.379573;-0.069461;6.444859;2.398245;0.542198;0.494250
4.704087;-0.048343;-0.016117;-1.386466;-0.068292;6.481996;2.376141;0.524290;0.537133
4.804174;0.050110;0.001893;-1.393243;-0.067126;6.518582;2.354537;0.506915;0.579129
4.904261;0.148682;0.019242;-1.399888;-0.065599;6.554634;2.335955;0.489963;0.623302
5.004348;0.247365;0.035943;-1.406374;-0.064009;6.590207;2.318186;0.473736;0.667869
5.104435;0.346154;0.052012;-1.412701;-0.062422;6.625320;2.300733;0.462110;0.711610
5.204522;0.445041;0.067463;-1.418873;-0.060933;6.659986;2.282937;0.456802;0.752422
5.304609;0.544020;0.082311;-1.424898;-0.059465;6.694206;2.265325;0.452128;0.792295
5.404696;0.643086;0.096569;-1.430776;-0.057999;6.727991;2.247999;0.447138;0.831637
5.504783;0.742233;0.110253;-1.436507;-0.056510;6.761350;2.231094;0.441144;0.875992
5.604870;0.841456;0.123375;-1.442088;-0.055017;6.794296;2.214462;0.435738;0.919638
5.704957;0.940750;0.135950;-1.447520;-0.053527;6.826839;-2.632214;0.432679;0.962122
5.805044;1.040109;0.147994;-1.452803;-0.052041;6.788139;-6.576443;0.433105;0.999011
5.905131;1.139530;0.159520;-1.457938;-0.050557;6.690471;-6.624085;0.434064;1.035316
6.005218;1.239008;0.170542;-1.462923;-0.049075;6.590632;-6.667540;0.436902;1.071040
6.105305;1.338539;0.181076;-1.467762;-0.047604;6.488587;-6.706948;0.442174;1.103026
6.205392;1.438119;0.191135;-1.472453;-0.046136;6.384294;-6.742690;0.447932;1.134513
6.305479;1.537745;0.200735;-1.476997;-0.044669;6.277698;-6.775032;0.454124;1.165522
6.405566;1.637412;0.209889;-1.481392;-0.043161;6.168737;-6.804591;0.460738;1.185524
6.505653;1.737118;0.218612;-1.485636;-0.041643;6.057327;-6.831209;0.467792;1.201787
6.605740;1.836860;0.226920;-1.489728;-0.040126;5.943381;-6.854998;0.461969;1.217661
6.705827;1.936634;0.234827;-1.493675;-0.038766;5.826799;-6.875154;0.451863;1.229572
6.805913;2.036438;0.242347;-1.497489;-0.037447;5.707483;-6.892890;0.431568;1.222743
6.906000;2.136269;0.249493;-1.501171;-0.036130;5.585301;-6.896447;0.383946;1.215541
7.006087;2.236126;0.256273;-1.504863;-0.038454;5.460320;-6.888200;0.342225;1.207985
7.106174;2.336009;0.262670;-1.508879;-0.041793;5.332566;-6.881353;0.342107;1.195829
7.206261;2.435917;0.268649;-1.513229;-0.045131;5.201807;-6.759214;0.344232;1.157534
7.306348;2.535852;0.274157;-1.518640;-0.067267;5.070086;-6.560556;0.355023;1.119142
7.406435;2.635822;0.278992;-1.526758;-0.094964;4.938878;-6.328332;0.368109;1.081166
7.506522;2.735833;0.282877;-1.537649;-0.122662;4.808924;-6.121860;0.388672;1.043296
7.606609;2.835884;0.285537;-1.551175;-0.146788;4.679777;-5.930014;0.410833;0.989810
