s,x,y,yaw,curvature,v_ref,width_left,width_right
0.000000000,-6.866496000,-1.791961500,-0.063523788,0.259712723,2.174265600,0.608916000,2.811667500
0.150130500,-6.716520000,-1.798569000,-0.025131664,0.251737561,2.224970400,0.640606500,2.780475000
0.300261000,-6.566400000,-1.799505000,0.012152414,0.244950737,2.267560800,0.667225500,2.719108500
0.450391500,-6.416347500,-1.794921000,0.048246913,0.235889899,2.313120000,0.695700000,2.668471500
0.600522000,-6.266551500,-1.785027000,0.082195584,0.216363876,2.360364000,0.725227500,2.588050500
0.750652500,-6.117153000,-1.770273000,0.113013219,0.194182776,2.401243200,0.750777000,2.443900500
0.900783000,-5.968248000,-1.751170500,0.140707892,0.174757298,2.442374400,0.776484000,2.316052500
1.050913500,-5.819893500,-1.728168000,0.166314198,0.166365722,2.480251200,0.800157000,2.161177500
1.201044000,-5.672161500,-1.701468000,0.190880659,0.160900532,2.512807200,0.820504500,1.972519500
1.351174500,-5.525115000,-1.671207000,0.214551013,0.154432102,2.541837600,0.838648500,1.798159500
1.501305000,-5.378811000,-1.637545500,0.236832182,0.142390754,2.567376000,0.854610000,1.666648500
1.651435500,-5.233258500,-1.600764000,0.257215897,0.129156221,2.588592000,0.867870000,1.546603500
1.801566000,-5.088445500,-1.561167000,0.275650076,0.116420059,2.607343200,0.879589500,1.440550500
1.951696500,-4.944348000,-1.519045500,0.292285586,0.105192925,2.648268000,0.905167500,1.348540500
2.101825500,-4.800931500,-1.474653000,0.307263165,0.094335309,2.685960000,0.928725000,1.261846500
2.251956000,-4.658158500,-1.428234000,0.320608355,0.083445387,2.720772000,0.950482500,1.183161000
2.402086500,-4.515978000,-1.380030000,0.332235841,0.071452953,2.768767200,0.980479500,1.108860000
2.552217000,-4.374322500,-1.330303500,0.342022179,0.058918243,2.746295077,1.016314500,1.035486000
2.702347500,-4.233112500,-1.279326000,0.349986564,0.047181332,2.663033074,1.051216500,0.960429000
2.852478000,-4.092267000,-1.227349500,0.356390932,0.038136233,2.577082391,1.084309500,0.887698500
3.002608500,-3.951721500,-1.174567500,0.361495370,0.029863732,2.488164414,1.109587500,0.816858000
3.152739000,-3.811413000,-1.121155500,0.365278991,0.020540888,2.395948800,1.134414000,0.747468000
3.302869500,-3.671271000,-1.067311500,0.367252382,0.005748005,2.303042400,1.159102500,0.689401500
3.453000000,-3.531174000,-1.013346000,0.366884030,-0.010655159,2.224118400,1.179217500,0.640074000
3.603130500,-3.390993000,-0.959605500,0.364140572,-0.025892247,2.150217600,1.196821500,0.593886000
3.753261000,-3.250602000,-0.906409500,0.359599773,-0.034599433,2.099227200,1.215298500,0.562017000
3.903391500,-3.109938000,-0.853944000,0.353891902,-0.041439109,2.047094400,1.231413000,0.529434000
4.053522000,-2.968950000,-0.802354500,0.347189244,-0.047851865,2.026800000,1.237246500,0.516750000
4.203652500,-2.827594500,-0.751779000,0.339625149,-0.052915297,2.021913600,1.244269500,0.513696000
4.353783000,-2.685843000,-0.702328500,0.331341598,-0.057435888,2.019501600,1.252611000,0.512188500
4.503913500,-2.543670000,-0.654102000,0.322442502,-0.061115894,2.092521855,1.240818000,0.557838000
4.654044000,-2.401060500,-0.607182000,0.313285954,-0.060865339,2.162959200,1.229440500,0.601849500
4.804174500,-2.258028000,-0.561567000,0.304250394,-0.059504049,2.228546400,1.219569000,0.642841500
4.954305000,-2.114593500,-0.517231500,0.295409252,-0.058275835,2.288707200,1.202641500,0.680442000
5.104435500,-1.970778000,-0.474153000,0.286558342,-0.059633034,2.346585600,1.184481000,0.716616000
