# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 10.8188
# raceline_length_m: 46.9908
# generated: 2026-07-24 22:33:46
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;dist_left_m;dist_right_m
0.000000;-6.866496;-1.791962;-1.634070;0.258815;3.776467;2.620954;0.608916;2.811667
0.150131;-6.716520;-1.798569;-1.595751;0.251699;3.845302;2.567859;0.640606;2.780475
0.300261;-6.566400;-1.799505;-1.558479;0.244894;3.911568;2.521902;0.667226;2.719108
0.450392;-6.416348;-1.794921;-1.522199;0.238485;3.975574;2.475268;0.695700;2.668471
0.600522;-6.266552;-1.785027;-1.488044;0.216352;4.037409;2.759963;0.725228;2.588051
0.750652;-6.117153;-1.770273;-1.457232;0.194144;4.105258;3.002695;0.750777;2.443900
0.900783;-5.968248;-1.751170;-1.429735;0.172221;4.177823;3.207853;0.776484;2.316053
1.050914;-5.819894;-1.728168;-1.404343;0.166378;4.253979;3.166809;0.800157;2.161177
1.201044;-5.672161;-1.701468;-1.379776;0.160914;4.327845;3.128005;0.820504;1.972519
1.351174;-5.525115;-1.671207;-1.356023;0.155532;4.399590;3.095184;0.838649;1.798160
1.501305;-5.378811;-1.637545;-1.333637;0.142460;4.469448;3.182644;0.854610;1.666648
1.651435;-5.233258;-1.600764;-1.313246;0.129193;4.540160;3.266698;0.867870;1.546604
1.801566;-5.088446;-1.561167;-1.294841;0.116015;4.611611;3.342297;0.879590;1.440551
1.951697;-4.944348;-1.519045;-1.278244;0.105163;4.683588;3.384469;0.905168;1.348540
2.101825;-4.800931;-1.474653;-1.263264;0.094405;4.755363;3.421936;0.928725;1.261846
2.251956;-4.658158;-1.428234;-1.249897;0.083669;4.826848;3.454514;0.950482;1.183161
2.402087;-4.515978;-1.380030;-1.238253;0.071369;4.897955;3.494074;0.980480;1.108860
2.552217;-4.374322;-1.330304;-1.228468;0.058985;4.968842;3.523664;1.016315;1.035486
2.702348;-4.233112;-1.279326;-1.220542;0.046610;5.039319;3.541274;1.051216;0.960429
2.852478;-4.092267;-1.227349;-1.214198;0.038127;5.109169;3.528812;1.084310;0.887698
3.002609;-3.951722;-1.174567;-1.209093;0.029880;5.177836;3.510307;1.109587;0.816858
3.152739;-3.811413;-1.121155;-1.205226;0.021633;5.245250;3.486292;1.134414;0.747468
3.302869;-3.671271;-1.067311;-1.203132;0.005752;5.311357;3.460286;1.159102;0.689402
3.453000;-3.531174;-1.013346;-1.203502;-0.010682;5.376167;3.370197;1.179218;0.640074
3.603130;-3.390993;-0.959606;-1.206339;-0.027116;5.438548;3.289836;1.196821;0.593886
3.753261;-3.250602;-0.906409;-1.211026;-0.034636;5.498758;3.204853;1.215299;0.562017
3.903391;-3.109938;-0.853944;-1.216735;-0.041416;5.556786;3.111587;1.231413;0.529434
4.053522;-2.968950;-0.802355;-1.223462;-0.048197;5.612551;3.027517;1.237246;0.516750
4.203653;-2.827595;-0.751779;-1.231063;-0.052885;5.666283;2.940554;1.244269;0.513696
4.353783;-2.685843;-0.702329;-1.239340;-0.057383;5.717987;2.848736;1.252611;0.512189
4.503914;-2.543670;-0.654102;-1.248293;-0.061885;5.767636;2.804512;1.240818;0.557838
4.654044;-2.401061;-0.607182;-1.257551;-0.060933;5.816099;2.772121;1.229440;0.601850
4.804175;-2.258028;-0.561567;-1.266585;-0.059407;5.863610;2.747311;1.219569;0.642842
4.954305;-2.114593;-0.517231;-1.275389;-0.057887;5.910318;2.703306;1.202641;0.680442
