s,x,y,yaw,curvature,v_ref,width_left,width_right
0.000000000,-5.053862000,-0.765735000,-0.218956000,0.355908501,3.766604000,0.513857000,1.289410000
0.099993000,-4.955898000,-0.785749000,-0.184438000,0.334797235,3.845950000,0.554755000,1.242630000
0.199985000,-4.857318000,-0.802473000,-0.151998000,0.314213637,3.924923000,0.596623000,1.183552000
0.299978000,-4.758261000,-0.816092000,-0.121604000,0.295564664,4.003733000,0.635287000,1.131192000
0.399971000,-4.658844000,-0.826778000,-0.092710000,0.284080222,4.082174000,0.670304000,1.069848000
0.499964000,-4.559164000,-0.834636000,-0.064795000,0.274340996,4.157964000,0.701111000,0.999203000
0.599956000,-4.459305000,-0.839757000,-0.037839000,0.264242150,4.231448000,0.729356000,0.934496000
0.699949000,-4.359346000,-0.842238000,-0.012005000,0.251869977,4.302905000,0.754936000,0.867080000
0.799942000,-4.259356000,-0.842201000,0.012537000,0.239064287,4.373475000,0.771626000,0.805062000
0.899935000,-4.159395000,-0.839774000,0.035801000,0.226583077,4.443300000,0.786411000,0.753158000
0.999927000,-4.059514000,-0.835083000,0.057859000,0.214697284,4.512474000,0.799389000,0.709281000
1.099920000,-3.959757000,-0.828249000,0.078768000,0.203567760,4.580856000,0.815290000,0.668841000
1.199913000,-3.860160000,-0.819386000,0.098539000,0.191847245,4.648546000,0.833308000,0.628342000
1.299905000,-3.760750000,-0.808614000,0.117141000,0.180071464,4.715611000,0.849778000,0.590685000
1.399898000,-3.661551000,-0.796054000,0.134540000,0.167929716,4.782253000,0.864235000,0.561592000
1.499891000,-3.562576000,-0.781830000,0.150741000,0.156089566,4.848495000,0.872172000,0.547218000
1.599884000,-3.463835000,-0.766063000,0.165745000,0.143987130,4.914337000,0.878831000,0.534671000
1.699876000,-3.365331000,-0.748876000,0.179547000,0.132145929,4.979787000,0.884293000,0.524357000
1.799869000,-3.267063000,-0.730389000,0.192152000,0.119906652,5.044825000,0.886808000,0.516033000
1.899862000,-3.169023000,-0.710725000,0.203548000,0.107961997,5.109418000,0.887094000,0.509043000
1.999855000,-3.071202000,-0.690004000,0.213723000,0.095650496,5.173551000,0.886402000,0.500293000
2.099847000,-2.973582000,-0.668348000,0.222680000,0.083487757,5.237167000,0.885294000,0.491546000
2.199840000,-2.876147000,-0.645878000,0.230412000,0.071081629,5.300199000,0.885739000,0.483727000
2.299833000,-2.778874000,-0.622716000,0.236915000,0.058971007,5.362580000,0.885519000,0.466887000
2.399825000,-2.681740000,-0.598981000,0.242188000,0.046525901,5.424226000,0.884734000,0.450296000
2.499818000,-2.584716000,-0.574794000,0.246228000,0.034250887,5.485045000,0.883007000,0.435573000
2.599811000,-2.487776000,-0.550275000,0.249030000,0.021783256,5.544938000,0.880831000,0.427216000
2.699804000,-2.390890000,-0.525545000,0.250594000,0.009484407,5.603798000,0.878416000,0.419126000
2.799796000,-2.294027000,-0.500723000,0.250915000,-0.003080334,5.661508000,0.878275000,0.412831000
2.899789000,-2.197157000,-0.475931000,0.249989000,-0.015403905,5.717803000,0.879622000,0.409651000
