# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 7.3176
# raceline_length_m: 31.3402
# generated: 2026-07-31 20:28:25
# x_m;y_m;vx_mps;trac_dir;s_m;dist_left_m;dist_right_m
-4.629407;-0.566765;3.570493;0.045917;0.000000;0.691155;0.688709
-4.529415;-0.561537;3.692757;0.059294;0.100129;0.704554;0.667422
-4.429518;-0.554751;3.804583;0.077096;0.200257;0.715666;0.635600
-4.329778;-0.545967;3.904663;0.099319;0.300386;0.722516;0.589377
-4.230265;-0.534899;3.999333;0.121420;0.400514;0.727412;0.545873
-4.130989;-0.521873;4.095945;0.138707;0.500643;0.730781;0.499198
-4.031917;-0.507370;4.193536;0.151201;0.600771;0.736959;0.455694
-3.933002;-0.491826;4.290972;0.160196;0.700900;0.747631;0.425214
-3.834214;-0.475497;4.385822;0.167065;0.801028;0.757712;0.403456
-3.735523;-0.458595;4.478088;0.171804;0.901157;0.766990;0.382525
-3.636893;-0.441336;4.567742;0.174259;1.001285;0.771056;0.367849
-3.538284;-0.423956;4.654730;0.174258;1.101414;0.775077;0.354251
-3.439655;-0.406697;4.738277;0.171801;1.201543;0.779302;0.341522
-3.340967;-0.389772;4.818915;0.167832;1.301671;0.779012;0.353597
-3.242209;-0.373259;4.896824;0.163447;1.401800;0.778642;0.365230
-3.143377;-0.357199;4.972140;0.158649;1.501928;0.778747;0.376324
-3.044467;-0.341631;5.045112;0.153557;1.602057;0.777423;0.386541
-2.945477;-0.326574;5.115870;0.148316;1.702185;0.776309;0.396235
-2.846408;-0.312044;5.184528;0.142928;1.802314;0.775748;0.407087
-2.747262;-0.298051;5.251276;0.137513;1.902442;0.774213;0.423654
-2.648043;-0.284588;5.316275;0.132223;2.002571;0.772953;0.439676
-2.548755;-0.271645;5.379626;0.127059;2.102699;0.772239;0.452168
-2.449401;-0.259212;5.441345;0.121909;2.202828;0.763870;0.456284
-2.349984;-0.247297;5.501422;0.116629;2.302956;0.754590;0.459886
-2.250505;-0.235913;5.559925;0.111218;2.403085;0.745866;0.459367
-2.150965;-0.225073;5.616986;0.105724;2.503214;0.733781;0.450128
-2.051367;-0.214782;5.672671;0.100207;2.603342;0.721755;0.440343
-1.951714;-0.205040;5.727037;0.094669;2.703471;0.710317;0.428868
-1.852008;-0.195853;5.780129;0.089104;2.803599;0.689587;0.414100
-1.752252;-0.187222;5.831994;0.083501;2.903728;0.668829;0.398761
-1.652449;-0.179152;5.882681;0.077862;3.003856;0.648845;0.383506
-1.552602;-0.171646;5.932244;0.072193;3.103985;0.638073;0.369550
-1.452715;-0.164708;5.980725;0.066503;3.204113;0.627900;0.355013
-1.352789;-0.158339;6.028164;0.060791;3.304242;0.619163;0.344028
-1.252829;-0.152541;6.074614;0.055087;3.404370;0.618504;0.347373
-1.152837;-0.147311;6.120145;0.049432;3.504499;0.618433;0.350161
-1.052817;-0.142645;6.164795;0.043827;3.604628;0.619797;0.354579
-0.952773;-0.138536;6.208595;0.038273;3.704756;0.625296;0.369168
-0.852708;-0.134980;6.251580;0.032776;3.804885;0.631369;0.383195
-0.752625;-0.131972;6.293778;0.027335;3.905013;0.637802;0.396696
-0.652527;-0.129505;6.335216;0.021957;4.005142;0.644316;0.409921
-0.552417;-0.127572;6.375932;0.016655;4.105270;0.651385;0.422608
-0.452298;-0.126167;6.415951;0.011427;4.205399;0.663033;0.434767
-0.352174;-0.125282;6.455295;0.006267;4.305527;0.680600;0.437260
-0.252046;-0.124910;6.493973;0.001163;4.405656;0.698724;0.439177
-0.151918;-0.125047;6.532003;-0.003884;4.505784;0.716540;0.440598
-0.051791;-0.125686;6.569406;-0.008873;4.605913;0.734256;0.437865
0.048331;-0.126822;6.606203;-0.013801;4.706042;0.752510;0.434219
0.148446;-0.128448;6.642413;-0.018667;4.806170;0.766252;0.430089
0.248552;-0.130558;6.678052;-0.023468;4.906299;0.778303;0.435443
0.348647;-0.133145;6.713144;-0.028196;5.006427;0.790856;0.442204
0.448729;-0.136201;6.747706;-0.032851;5.106556;0.798301;0.448503
0.548796;-0.139720;6.781752;-0.037443;5.206684;0.804579;0.444176
0.648845;-0.143696;6.815279;-0.041991;5.306813;0.811333;0.436988
0.748875;-0.148125;6.848297;-0.046494;5.406941;0.826749;0.429350
0.848885;-0.153002;6.880819;-0.050944;5.507070;0.844753;0.418195
0.948872;-0.158320;6.912875;-0.055320;5.607198;0.863234;0.406091
1.048835;-0.164072;6.944481;-0.059624;5.707327;0.874022;0.393543
1.148773;-0.170249;6.975648;-0.063808;5.807456;0.883189;0.375647
1.248685;-0.176834;7.006463;-0.067781;5.907584;0.892769;0.357174
1.348570;-0.183805;7.036948;-0.071540;6.007713;0.900056;0.341515
1.448430;-0.191135;7.067104;-0.074880;6.107841;0.906704;0.344645
1.548268;-0.198758;7.097194;-0.077390;6.207970;0.913606;0.347493
1.648090;-0.206590;7.127178;-0.079058;6.308098;0.917865;0.354016
1.747902;-0.214545;7.067051;-0.079840;6.408227;0.920232;0.368018
1.847712;-0.222529;6.967287;-0.079645;6.508355;0.922607;0.382039
1.947527;-0.230445;6.866634;-0.078468;6.608484;0.922576;0.391243
2.047355;-0.238194;6.765477;-0.076302;6.708612;0.918201;0.396895
2.147204;-0.245676;6.664158;-0.073126;6.808741;0.913607;0.402842
2.247079;-0.252791;6.562971;-0.068939;6.908869;0.908417;0.407171
