# s_m,x_m,y_m,trac_dir,kappa_radpm,vx_mps,dist_left_m,dist_right_m
0.000000,22.561531,3.704504,0.465510,0.449001,3.574304,0.550141,0.842894
0.099999,22.649835,3.751414,0.511501,0.471165,3.486011,0.517187,0.913093
0.199999,22.735831,3.802432,0.559806,0.495215,3.396907,0.479674,0.979192
0.299998,22.819194,3.857645,0.610592,0.520711,3.309183,0.457449,1.022359
0.399998,22.899569,3.917121,0.663975,0.547040,3.225015,0.434315,1.075944
0.499997,22.976570,3.980903,0.720001,0.573392,3.146562,0.406454,1.141751
0.599996,23.049804,4.048977,0.778045,0.588175,3.104840,0.373131,1.221676
0.699996,23.118906,4.121240,0.837774,0.607073,3.053706,0.351402,1.292868
0.799995,23.183494,4.197563,0.899582,0.629649,2.995615,0.341480,1.259726
0.899995,23.243149,4.277800,0.963806,0.655251,2.933341,0.396458,1.237965
0.999994,23.297419,4.361770,1.030704,0.682969,2.869837,0.475741,1.227991
1.099993,23.345919,4.449200,1.097410,0.651009,2.943410,0.545073,1.230266
1.199993,23.388629,4.539602,1.160961,0.620385,3.019075,0.604865,1.244163
1.299992,23.425650,4.632481,1.221580,0.592536,3.092827,0.656220,1.201841
1.399992,23.457103,4.727391,1.279587,0.568244,3.161465,0.700826,1.111613
1.499991,23.483112,4.823936,1.335366,0.548050,3.221904,0.739791,1.036678
1.599990,23.503813,4.921758,1.388615,0.516683,3.299835,0.776365,0.974703
1.699990,23.519435,5.020519,1.438690,0.484842,3.377689,0.810712,0.923851
1.799989,23.530252,5.119923,1.485601,0.453530,3.456221,0.841782,0.853542
1.899989,23.536550,5.219716,1.529435,0.423392,3.535678,0.869996,0.783998
1.999988,23.538617,5.319688,1.570333,0.394854,3.616023,0.895647,0.723894
2.099987,23.536748,5.419664,1.608036,0.358986,3.697066,0.919095,0.671785
2.199987,23.531293,5.519510,1.642114,0.322554,3.780928,0.940325,0.643386
2.299986,23.522620,5.619129,1.672548,0.286173,3.867454,0.953616,0.626308
2.399986,23.511101,5.718460,1.699361,0.250171,3.956289,0.965298,0.613011
2.499985,23.497099,5.817472,1.722600,0.214693,4.046767,0.975501,0.602885
2.599984,23.480948,5.916157,1.743140,0.196273,4.138185,0.984265,0.594444
2.699984,23.462863,6.014506,1.761850,0.177912,4.227747,0.991593,0.569363
2.799983,23.443032,6.112518,1.778721,0.159509,4.315660,0.997584,0.546655
2.899983,23.421639,6.210201,1.793752,0.141125,4.402081,1.007067,0.526020
2.999982,23.398870,6.307573,1.806948,0.122793,4.487100,1.017230,0.507181
3.099982,23.374950,6.404669,1.816994,0.077835,4.570755,1.026678,0.495535
3.199981,23.350274,6.501576,1.822513,0.032544,4.655095,1.035868,0.491198
3.299980,23.325283,6.598402,1.823503,-0.012745,4.738650,1.045188,0.487284
3.399980,23.300415,6.695260,1.819964,-0.058030,4.818454,1.055091,0.483331
3.499979,23.276110,6.792261,1.811898,-0.103296,4.892268,1.057316,0.476633
3.599979,23.252769,6.889497,1.800527,-0.123826,4.961318,1.058175,0.455318
3.699978,23.230634,6.987016,1.787132,-0.144093,5.009902,1.060465,0.432922
3.799977,23.209907,7.084842,1.771708,-0.164370,4.895722,1.064478,0.409227
3.899977,23.190790,7.182996,1.754259,-0.184599,4.783638,1.070522,0.385966
