s,x,y,yaw,curvature,v_ref,width_left,width_right
0.000000,0.029227,-0.206848,0.007902,-0.008205,5.000000,0.574654,0.420662
0.099975,0.129199,-0.206099,0.007077,-0.008305,5.000000,0.588453,0.409822
0.199950,0.229172,-0.205433,0.006237,-0.008504,5.000000,0.604888,0.398898
0.299925,0.329145,-0.204852,0.005376,-0.008705,5.000000,0.637616,0.388661
0.399900,0.429119,-0.204358,0.004491,-0.009004,5.000000,0.694427,0.388688
0.499875,0.529093,-0.203954,0.003586,-0.009105,5.000000,0.751395,0.388625
0.599850,0.629068,-0.203641,0.002661,-0.009405,5.000000,0.766611,0.388471
0.699825,0.729043,-0.203422,0.001710,-0.009605,5.000000,0.777705,0.384999
0.799801,0.829018,-0.203299,0.000740,-0.009805,5.000000,0.788900,0.379927
0.899776,0.928993,-0.203274,-0.000250,-0.010005,5.000000,0.787725,0.374757
0.999751,1.028968,-0.203349,-0.001265,-0.010305,5.000000,0.785400,0.366970
1.099726,1.128943,-0.203527,-0.002301,-0.010405,5.000000,0.783178,0.358028
1.199700,1.228917,-0.203809,-0.003351,-0.010605,5.000000,0.773915,0.352461
1.299675,1.328891,-0.204197,-0.004426,-0.010905,5.000000,0.756872,0.371719
1.399650,1.428865,-0.204694,-0.005526,-0.011106,5.000000,0.739942,0.390859
1.499625,1.528838,-0.205302,-0.006647,-0.011305,5.000000,0.726038,0.403672
1.599601,1.628811,-0.206023,-0.007787,-0.011507,5.000000,0.732121,0.410236
1.699575,1.728782,-0.206859,-0.008952,-0.011805,5.000000,0.738322,0.416683
1.799551,1.828753,-0.207813,-0.010148,-0.012107,5.000000,0.744215,0.420091
1.899525,1.928722,-0.208888,-0.011358,-0.012106,5.000000,0.742815,0.421360
1.999501,2.028690,-0.210084,-0.012568,-0.012108,5.000000,0.741538,0.422508
2.099475,2.128656,-0.211401,-0.013769,-0.011906,5.000000,0.740877,0.423099
2.199451,2.228621,-0.212837,-0.015009,-0.012908,5.000000,0.743206,0.423137
2.299426,2.328584,-0.214402,-0.016375,-0.014410,5.000000,0.745667,0.423047
2.399400,2.428544,-0.216111,-0.017865,-0.015409,5.000000,0.748460,0.420704
2.499376,2.528502,-0.217974,-0.019296,-0.013210,5.000000,0.751956,0.415035
2.599351,2.628457,-0.219969,-0.020392,-0.008707,5.000000,0.755574,0.409224
2.699325,2.728410,-0.222051,-0.021107,-0.005604,5.000000,0.758721,0.404539
2.799300,2.828362,-0.224189,-0.022142,-0.015110,4.934014,0.760871,0.402407
2.899275,2.928311,-0.226478,-0.024524,-0.032526,4.856920,0.763202,0.400140
2.999251,3.028252,-0.229092,-0.028436,-0.045741,4.778021,0.765852,0.397558
3.099226,3.128180,-0.232163,-0.031278,-0.011113,4.696479,0.768906,0.394494
3.199200,3.228104,-0.235345,-0.029182,0.053048,4.612239,0.771934,0.391245
3.299175,3.328043,-0.237997,-0.021097,0.108681,4.529692,0.769121,0.388245
3.399150,3.428006,-0.239563,-0.012298,0.067338,4.529692,0.759200,0.385631
3.499125,3.527977,-0.240456,-0.010653,-0.034420,4.529692,0.747829,0.383786
3.599100,3.627944,-0.241693,-0.018781,-0.128191,4.529692,0.737092,0.385598
3.699073,3.727886,-0.244211,-0.031394,-0.124122,4.529692,0.729317,0.397086
3.799048,3.827790,-0.247969,-0.040572,-0.059479,4.669796,0.723169,0.407623
3.899023,3.927670,-0.252321,-0.043455,0.001804,4.814488,0.729681,0.412713
3.998998,4.027551,-0.256655,-0.042734,0.012620,4.737999,0.744720,0.385967
4.098973,4.127438,-0.260863,-0.042523,-0.008414,4.654054,0.759819,0.359535
4.198948,4.227321,-0.265155,-0.044311,-0.027345,4.567487,0.763441,0.341275
4.298923,4.327191,-0.269720,-0.046584,-0.018122,4.477775,0.757826,0.356604
4.398898,4.427054,-0.274466,-0.047049,0.008809,4.384461,0.752496,0.371880
4.498873,4.526920,-0.279124,-0.045047,0.031247,4.287828,0.754840,0.384201
4.598847,4.626800,-0.283470,-0.043389,0.001908,4.187202,0.763576,0.384820
4.698823,4.726682,-0.287797,-0.046303,-0.060200,4.083008,0.772690,0.385445
4.798798,4.826535,-0.292725,-0.055023,-0.114232,3.977769,0.780381,0.384344
4.898772,4.926325,-0.298793,-0.063955,-0.064457,3.977769,0.786998,0.378527
4.998748,5.026075,-0.305504,-0.064616,0.051226,3.977769,0.793762,0.371819
5.098722,5.125857,-0.311704,-0.054132,0.158507,3.977769,0.799440,0.365360
5.198695,5.225723,-0.316322,-0.038381,0.156605,3.977769,0.803378,0.360427
5.298669,5.325651,-0.319376,-0.026345,0.084173,4.136910,0.806131,0.357236
5.398645,5.425602,-0.321589,-0.021322,0.016311,4.298677,0.808218,0.354983
5.498620,5.525556,-0.323639,-0.020011,0.009907,4.458431,0.810099,0.352929
5.598595,5.625512,-0.325590,-0.017315,0.044028,4.611370,0.811840,0.350956
5.698569,5.725475,-0.327101,-0.011248,0.077345,4.755900,0.810863,0.348169
5.798544,5.825447,-0.327839,-0.002521,0.097250,4.713189,0.798985,0.344335
5.898518,5.925421,-0.327605,0.007767,0.108558,4.633553,0.786309,0.341494
5.998493,6.025387,-0.326286,0.019206,0.120283,4.552047,0.772725,0.350401
6.098468,6.125330,-0.323765,0.032230,0.140247,4.469646,0.767260,0.373320
6.198442,6.225227,-0.319843,0.047517,0.165576,4.387120,0.760882,0.398076
6.298415,6.325045,-0.314268,0.065312,0.190413,4.304716,0.753195,0.412998
6.398388,6.424738,-0.306794,0.085251,0.208466,4.221170,0.745875,0.421169
6.498361,6.524254,-0.297244,0.106753,0.221679,4.135577,0.737854,0.431690
6.598335,6.623534,-0.285491,0.129647,0.236319,4.047635,0.728043,0.443474
6.698307,6.722508,-0.271396,0.154561,0.262080,3.959556,0.715727,0.457554
6.798279,6.821078,-0.254713,0.182437,0.295591,3.873075,0.698836,0.474895
6.898250,6.919111,-0.235125,0.213658,0.328989,3.788698,0.679891,0.474058
6.998220,7.016446,-0.212324,0.248065,0.359317,3.705563,0.658617,0.475906
7.098189,7.112899,-0.186042,0.285425,0.388061,3.623309,0.643867,0.489690
7.198158,7.208259,-0.156039,0.325593,0.415507,3.542011,0.631938,0.539315
7.298126,7.302290,-0.122102,0.367042,0.413679,3.452399,0.616945,0.596379
7.398094,7.394838,-0.084306,0.407325,0.392183,3.352908,0.598291,0.654984
7.498063,7.485834,-0.042911,0.445745,0.376400,3.239255,0.584585,0.718450
7.598032,7.575208,0.001878,0.486289,0.434692,3.122638,0.569378,0.786270
7.697997,7.662549,0.050506,0.535224,0.544267,3.017644,0.551863,0.852301
7.797957,7.747111,0.103809,0.594953,0.650598,2.930019,0.530817,0.935287
7.897912,7.828026,0.162493,0.661591,0.682469,2.869458,0.500030,1.010387
7.997869,7.904753,0.226558,0.729016,0.666385,2.908042,0.462023,1.073538
