s,x,y,yaw,curvature,v_ref,width_left,width_right
0.000000,0.029227,-0.206848,0.007902,0.008092,5.000000,0.420662,0.574654
0.099975,-0.070744,-0.207679,0.008700,0.007878,5.000000,0.421675,0.643734
0.199950,-0.170715,-0.208587,0.009477,0.007663,5.000000,0.410309,0.712957
0.299925,-0.270685,-0.209573,0.010232,0.007449,5.000000,0.398864,0.778111
0.399900,-0.370655,-0.210633,0.010966,0.007235,5.000000,0.387982,0.839661
0.499875,-0.470623,-0.211765,0.011679,0.007021,5.000000,0.382829,0.901328
0.599850,-0.570591,-0.212967,0.012370,0.006806,5.000000,0.377606,0.919656
0.699825,-0.670558,-0.214237,0.013040,0.006592,5.000000,0.372315,0.935340
0.799800,-0.770524,-0.215574,0.013688,0.006378,5.000000,0.382675,0.951091
0.899775,-0.870489,-0.216974,0.014315,0.006164,5.000000,0.394459,0.953994
0.999750,-0.970454,-0.218435,0.014921,0.005949,5.000000,0.406181,0.956235
1.099725,-1.070417,-0.219956,0.015505,0.005735,5.000000,0.405188,0.958536
1.199700,-1.170380,-0.221534,0.016067,0.005521,5.000000,0.401966,0.969923
1.299675,-1.270341,-0.223168,0.016609,0.005307,5.000000,0.398363,0.984432
1.399650,-1.370302,-0.224855,0.017129,0.005092,5.000000,0.380632,0.998994
1.499625,-1.470262,-0.226592,0.017627,0.004878,5.000000,0.362845,1.007369
1.599600,-1.570221,-0.228378,0.018104,0.004664,5.000000,0.349242,1.011456
1.699575,-1.670179,-0.230211,0.018559,0.004450,5.000000,0.347790,1.015590
1.799550,-1.770137,-0.232088,0.018994,0.004236,5.000000,0.346293,1.024754
1.899525,-1.870093,-0.234008,0.019406,0.004021,5.000000,0.351034,1.040451
1.999500,-1.970049,-0.235968,0.019798,0.003807,5.000000,0.364586,1.056187
2.099475,-2.070004,-0.237965,0.020168,0.003593,5.000000,0.378100,1.068550
2.199450,-2.169959,-0.239999,0.020516,0.003379,5.000000,0.383632,1.074186
2.299425,-2.269912,-0.242067,0.020843,0.003165,5.000000,0.381826,1.079856
2.399400,-2.369865,-0.244166,0.021147,0.002813,5.000000,0.379988,1.090023
2.499375,-2.469818,-0.246293,0.021393,0.002107,5.000000,0.370400,1.113923
2.599350,-2.569770,-0.248440,0.021568,0.001402,5.000000,0.356208,1.137828
2.699325,-2.669721,-0.250602,0.021666,0.000184,5.000000,0.341997,1.159332
2.799300,-2.769673,-0.252765,0.021557,-0.002359,5.000000,0.345352,1.171398
2.899275,-2.869625,-0.254904,0.021195,-0.004902,5.000000,0.355820,1.183403
2.999250,-2.969578,-0.256994,0.020576,-0.007563,5.000000,0.366349,1.193747
