s,x,y,yaw,curvature,v_ref,width_left,width_right
0.000000,-0.018944,-0.259011,0.014852,0.400801,5.000000,0.508447,0.508447
0.100000,0.081000,-0.255672,0.052912,0.358503,5.000000,0.506614,0.506614
0.200000,0.180833,-0.249893,0.086528,0.313872,5.000000,0.516080,0.516080
0.300000,0.280453,-0.241177,0.115580,0.267902,5.000000,0.527667,0.527667
0.400000,0.379760,-0.229425,0.140003,0.221320,5.000000,0.538966,0.538966
0.500000,0.478692,-0.214852,0.159775,0.174605,5.000000,0.549731,0.549731
0.600000,0.577243,-0.197893,0.174897,0.128023,5.000000,0.562262,0.562262
0.700000,0.675466,-0.179127,0.185380,0.081668,5.000000,0.574067,0.574067
0.800000,0.773462,-0.159210,0.191242,0.035511,5.000000,0.579691,0.579691
0.900000,0.871363,-0.138831,0.192490,-0.010555,5.000000,0.579806,0.579806
1.000000,0.969311,-0.118676,0.189128,-0.056672,5.000000,0.580784,0.580784
1.100000,1.067211,-0.098290,0.176329,-0.094244,5.000000,0.580897,0.580897
1.200000,1.165610,-0.080494,0.157893,-0.125323,5.000000,0.574868,0.574868
1.300000,1.264522,-0.065827,0.135191,-0.147450,5.000000,0.567736,0.567736
1.400000,1.363841,-0.054222,0.109971,-0.159180,5.000000,0.560606,0.560606
1.500000,1.463453,-0.045483,0.084210,-0.160274,5.000000,0.563916,0.563916
1.600000,1.563245,-0.039099,0.059963,-0.151839,5.000000,0.571048,0.571048
1.700000,1.663142,-0.034610,0.039084,-0.136086,5.000000,0.578785,0.578785
1.800000,1.763098,-0.031714,0.022843,-0.115600,5.000000,0.581596,0.581596
1.900000,1.863090,-0.030682,0.011797,-0.092856,5.000000,0.581226,0.581226
2.000000,1.963084,-0.031550,0.005847,-0.070062,5.000000,0.581389,0.581389
2.100000,2.063073,-0.033016,0.004498,-0.049485,5.000000,0.581737,0.581737
2.200000,2.163070,-0.033667,0.006196,-0.033913,5.000000,0.582240,0.582240
2.300000,2.263068,-0.033118,0.009636,-0.024110,5.000000,0.581990,0.581990
2.400000,2.363049,-0.031240,0.013237,-0.019206,5.000000,0.581727,0.581727
2.500000,2.463003,-0.028250,0.015682,-0.017789,5.000000,0.581100,0.581100
2.600000,2.562946,-0.024870,0.016252,-0.018524,5.000000,0.581677,0.581677
2.700000,2.662904,-0.021971,0.014810,-0.020785,5.000000,0.582321,0.582321
2.800000,2.762881,-0.019887,0.011439,-0.024198,5.000000,0.582415,0.582415
2.900000,2.862872,-0.018604,0.006286,-0.028249,5.000000,0.582197,0.582197
3.000000,2.962870,-0.018047,-0.000130,-0.031871,5.000000,0.581911,0.581911
3.100000,3.062866,-0.018801,-0.006811,-0.033566,5.000000,0.581751,0.581751
3.200000,3.162839,-0.021038,-0.012794,-0.032402,5.000000,0.581749,0.581749
3.300000,3.262777,-0.024532,-0.017483,-0.028356,5.000000,0.581795,0.581795
3.400000,3.362727,-0.027668,-0.020561,-0.021826,5.000000,0.581548,0.581548
3.500000,3.462704,-0.029750,-0.022038,-0.013555,5.000000,0.580329,0.580329
3.600000,3.562697,-0.030895,-0.022038,-0.004871,5.000000,0.578890,0.578890
3.700000,3.662691,-0.032003,-0.020747,0.002843,5.000000,0.577428,0.577428
3.800000,3.762680,-0.033450,-0.018359,0.008588,5.000000,0.572162,0.572162
3.900000,3.862666,-0.035141,-0.015374,0.012116,5.000000,0.567736,0.567736
4.000000,3.962650,-0.036922,-0.012420,0.013502,5.000000,0.563883,0.563883
4.100000,4.062635,-0.038637,-0.010053,0.012755,5.000000,0.563983,0.563983
4.200000,4.162624,-0.040128,-0.008578,0.010653,5.000000,0.564973,0.564973
4.300000,4.262618,-0.041240,-0.007858,0.008311,5.000000,0.565738,0.565738
4.400000,4.362616,-0.041798,-0.007427,0.007052,5.000000,0.566058,0.566058
4.500000,4.462615,-0.041630,-0.006810,0.006571,5.000000,0.564657,0.564657
4.600000,4.562614,-0.041329,-0.005841,0.005712,5.000000,0.561387,0.561387
4.700000,4.662614,-0.041460,-0.004694,0.003244,5.000000,0.558419,0.558419
4.800000,4.762609,-0.042401,-0.003694,-0.001082,5.000000,0.561384,0.561384
4.900000,4.862602,-0.043570,-0.003203,-0.006782,5.000000,0.569351,0.569351
5.000000,4.962596,-0.044622,-0.003557,-0.013062,5.000000,0.577660,0.577660
5.100000,5.062590,-0.045724,-0.004943,-0.019081,5.000000,0.581406,0.581406
5.200000,5.162587,-0.046502,-0.007374,-0.024073,5.000000,0.582223,0.582223
5.300000,5.262586,-0.046914,-0.010664,-0.027557,5.000000,0.582472,0.582472
5.400000,5.362586,-0.046718,-0.014571,-0.029278,5.000000,0.582542,0.582542
5.500000,5.462585,-0.046977,-0.019049,-0.028878,5.000000,0.582424,0.582424
5.600000,5.562574,-0.048398,-0.024199,-0.026126,5.000000,0.582209,0.582209
5.700000,5.662529,-0.051322,-0.029769,-0.020868,5.000000,0.581985,0.581985
5.800000,5.762448,-0.055342,-0.035069,-0.013122,5.000000,0.581820,0.581820
5.900000,5.862343,-0.059920,-0.039194,-0.002695,5.000000,0.581706,0.581706
6.000000,5.962234,-0.064578,-0.041159,0.009601,5.000000,0.581533,0.581533
6.100000,6.062135,-0.069040,-0.040326,0.022607,5.000000,0.580512,0.580512
6.200000,6.162052,-0.073113,-0.036542,0.035779,5.000000,0.579211,0.579211
6.300000,6.261981,-0.076868,-0.030058,0.048383,5.000000,0.577967,0.577967
6.400000,6.361924,-0.080246,-0.021366,0.059449,5.000000,0.577181,0.577181
6.500000,6.461896,-0.082514,-0.011502,0.067920,5.000000,0.573892,0.573892
6.600000,6.561892,-0.083058,-0.001692,0.074181,4.937296,0.569890,0.569890
6.700000,6.661885,-0.081975,0.007263,0.079283,4.836554,0.567747,0.567747
6.800000,6.761858,-0.079745,0.014859,0.085346,4.732776,0.570793,0.570793
6.900000,6.861800,-0.076339,0.021057,0.094560,4.629894,0.577942,0.577942
7.000000,6.961736,-0.072781,0.026257,0.108893,4.528737,0.583599,0.583599
7.100000,7.061680,-0.069421,0.030990,0.130545,4.429826,0.586301,0.586301
7.200000,7.161604,-0.065559,0.036408,0.161063,4.332752,0.588603,0.588603
7.300000,7.261501,-0.061029,0.044414,0.200765,4.234553,0.589649,0.589649
7.400000,7.361375,-0.056020,0.057070,0.249864,4.132567,0.588241,0.588241
7.500000,7.461206,-0.050233,0.076515,0.308493,4.026107,0.587296,0.587296
7.600000,7.560888,-0.042256,0.104610,0.376202,3.921182,0.586079,0.586079
7.700000,7.660308,-0.031554,0.142768,0.451854,3.822625,0.586151,0.586151
7.800000,7.759132,-0.016559,0.191853,0.533906,3.732627,0.587613,0.587613
7.900000,7.856965,0.003755,0.253089,0.620526,3.677266,0.593006,0.593006
8.000000,7.953301,0.030353,0.326911,0.709697,3.605268,0.603992,0.603992
8.100000,8.047020,0.065235,0.413354,0.799333,3.479506,0.619804,0.619804
8.200000,8.136844,0.109079,0.511981,0.886185,3.338273,0.640195,0.640195
8.300000,8.221968,0.161250,0.621485,0.964855,3.204530,0.666817,0.666817
8.400000,8.300955,0.222178,0.739698,1.028498,3.072509,0.697432,0.697432
8.500000,8.372108,0.292074,0.864201,1.071169,2.968443,0.721090,0.721090
8.600000,8.433576,0.370720,0.992208,1.088206,2.900825,0.752313,0.752313
8.700000,8.483553,0.457336,1.120560,1.077615,2.975800,0.773783,0.773783
8.800000,8.518659,0.550966,1.246267,1.040442,3.054959,0.776341,0.776341
8.900000,8.541631,0.648122,1.366473,0.980318,3.054851,0.777144,0.777144
9.000000,8.553503,0.747202,1.478704,0.902258,2.981545,0.781198,0.781198
9.100000,8.555451,0.847013,1.580845,0.811589,2.887206,0.778532,0.778532
9.200000,8.548792,0.946716,1.670585,0.714884,2.854095,0.760413,0.760413
9.300000,8.534500,1.045689,1.746714,0.617249,2.902986,0.747529,0.747529
9.400000,8.512463,1.143218,1.809195,0.520936,2.985525,0.774434,0.774434
9.500000,8.485091,1.239345,1.858620,0.426608,3.059571,0.825857,0.825857
9.600000,8.453488,1.334186,1.895288,0.336294,3.085787,0.830185,0.830185
9.700000,8.418862,1.427995,1.919899,0.252914,2.993985,0.819915,0.819915
9.800000,8.382669,1.521216,1.933967,0.179140,2.902749,0.811490,0.811490
9.900000,8.346187,1.614324,1.938567,0.116045,2.980222,0.782752,0.782752
10.000000,8.310553,1.707759,1.935717,0.064409,3.066646,0.764753,0.764753
10.100000,8.276281,1.801702,1.927691,0.024610,3.169964,0.753756,0.753756
10.200000,8.241609,1.895499,1.916784,-0.003267,3.219695,0.746174,0.746174
10.300000,8.207566,1.989526,1.905460,-0.020025,3.302902,0.736710,0.736710
