s,x,y,yaw,curvature,v_ref,width_left,width_right
0.000000,0.006543,-0.118409,0.007808,-0.005697,7.678730,0.507862,0.511791
0.100008,0.106549,-0.117658,0.007220,-0.006070,7.701123,0.499106,0.522019
0.200016,0.206555,-0.116967,0.006594,-0.006443,7.723233,0.529994,0.507863
0.300025,0.306561,-0.116340,0.005935,-0.006710,7.745065,0.560965,0.493642
0.400033,0.406568,-0.115780,0.005253,-0.006914,7.766626,0.599756,0.479353
0.500041,0.506575,-0.115290,0.004552,-0.007118,7.787919,0.641253,0.473555
0.600049,0.606582,-0.114871,0.003829,-0.007351,7.808950,0.682852,0.470918
0.700058,0.706590,-0.114525,0.003081,-0.007600,7.829722,0.692330,0.468208
0.800066,0.806598,-0.114255,0.002308,-0.007850,7.850240,0.695575,0.466198
0.900074,0.906606,-0.114064,0.001511,-0.008091,7.870508,0.698900,0.464380
1.000082,1.006614,-0.113954,0.000690,-0.008326,7.890530,0.696570,0.462296
1.100091,1.106622,-0.113927,-0.000154,-0.008561,7.910312,0.689170,0.454572
1.200099,1.206630,-0.113985,-0.001022,-0.008791,7.929855,0.681856,0.446764
1.300107,1.306638,-0.114132,-0.001912,-0.009018,7.949166,0.673790,0.448231
1.400115,1.406646,-0.114369,-0.002826,-0.009246,7.968246,0.663442,0.472071
1.500124,1.506654,-0.114698,-0.003761,-0.009464,7.987101,0.653186,0.495806
1.600132,1.606661,-0.115122,-0.004719,-0.009677,8.005752,0.644699,0.508878
1.700140,1.706668,-0.115642,-0.005697,-0.009890,8.024240,0.647602,0.509362
1.800148,1.806675,-0.116262,-0.006697,-0.010119,8.042568,0.650606,0.509748
1.900157,1.906680,-0.116983,-0.007721,-0.010359,8.060737,0.652997,0.512151
2.000165,2.006685,-0.117807,-0.008769,-0.010598,8.078750,0.648777,0.516575
2.100173,2.106689,-0.118737,-0.009839,-0.010777,8.096609,0.644664,0.520892
2.200181,2.206692,-0.119775,-0.010924,-0.010920,8.114318,0.642221,0.521061
2.300190,2.306694,-0.120923,-0.012023,-0.011062,8.131877,0.648325,0.516202
2.400198,2.406694,-0.122181,-0.013143,-0.011427,8.149284,0.654543,0.511234
2.500206,2.506693,-0.123553,-0.014311,-0.011931,8.166539,0.659725,0.506976
2.600214,2.606690,-0.125045,-0.015530,-0.012435,8.183644,0.661376,0.504021
2.700223,2.706685,-0.126660,-0.016773,-0.012112,8.200609,0.663153,0.500942
2.800231,2.806678,-0.128397,-0.017942,-0.011267,8.217442,0.665004,0.498183
2.900239,2.906669,-0.130246,-0.019027,-0.010421,8.234155,0.666867,0.496344
3.000247,3.006658,-0.132202,-0.020120,-0.012646,8.250707,0.668837,0.494399
3.100256,3.106645,-0.134284,-0.021595,-0.016839,8.179415,0.670609,0.492114
3.200264,3.206628,-0.136534,-0.023488,-0.021032,8.095140,0.672018,0.489016
3.300272,3.306606,-0.138988,-0.025455,-0.013807,8.009906,0.673634,0.485717
3.400280,3.406581,-0.141578,-0.026105,0.000804,7.922735,0.668222,0.483750
3.500289,3.506556,-0.144160,-0.025294,0.015415,7.834734,0.653727,0.487406
3.600297,3.606534,-0.146603,-0.023722,0.006881,7.745695,0.639161,0.491216
3.700305,3.706514,-0.148980,-0.024216,-0.016774,7.655731,0.630689,0.494717
3.800313,3.806490,-0.151525,-0.027077,-0.040431,7.569199,0.631071,0.496804
3.900321,3.906455,-0.154460,-0.031601,-0.040785,7.481508,0.631857,0.498492
4.000330,4.006407,-0.157798,-0.034929,-0.025759,7.392523,0.638417,0.495947
4.100338,4.106351,-0.161394,-0.036754,-0.010734,7.299170,0.651110,0.475139
4.200346,4.206290,-0.165105,-0.037417,-0.007087,7.202948,0.663827,0.454091
4.300354,4.306227,-0.168888,-0.038323,-0.011027,7.105422,0.668479,0.441390
4.400363,4.406159,-0.172781,-0.039623,-0.014967,7.006789,0.664622,0.461233
4.500371,4.506086,-0.176820,-0.041127,-0.012574,6.906715,0.660907,0.480902
4.600379,4.606008,-0.180984,-0.042052,-0.005915,6.804979,0.662059,0.495355
4.700387,4.705927,-0.185207,-0.042310,0.000745,6.701395,0.668629,0.491354
4.800396,4.805846,-0.189429,-0.042259,-0.004570,6.596149,0.675185,0.487347
4.900404,4.905763,-0.193699,-0.043389,-0.018033,6.489830,0.680840,0.483256
5.000412,5.005672,-0.198150,-0.045866,-0.031497,6.383036,0.685370,0.478854
5.100420,5.105567,-0.202901,-0.049012,-0.022125,6.274294,0.690230,0.474168
5.200428,5.205452,-0.207870,-0.049972,0.002944,6.162591,0.695238,0.469216
5.300437,5.305338,-0.212809,-0.048424,0.028012,6.049271,0.700130,0.464235
5.400445,5.405237,-0.217481,-0.045035,0.030492,5.933925,0.704696,0.459485
5.500453,5.505150,-0.221853,-0.042646,0.017289,5.816177,0.708597,0.454943
5.600461,5.605070,-0.226053,-0.041577,0.004086,5.694971,0.711691,0.450377
5.700470,5.704992,-0.230204,-0.041462,0.003378,5.570712,0.714759,0.445880
5.800478,5.804915,-0.234319,-0.040721,0.011431,5.443759,0.711362,0.442759
5.900486,5.904844,-0.238320,-0.039175,0.019483,5.314054,0.697702,0.442455
6.000494,6.004780,-0.242121,-0.036593,0.035441,5.182031,0.683938,0.442351
