s,x,y,yaw,curvature,v_ref,width_left,width_right
0.000000,-0.006871,-0.158102,0.009221,-0.009003,7.587273,0.550737,0.470180
0.099975,0.093101,-0.157225,0.008312,-0.009164,7.610780,0.534173,0.484421
0.199951,0.193073,-0.156440,0.007388,-0.009325,7.633984,0.565005,0.470382
0.299926,0.293046,-0.155748,0.006448,-0.009486,7.656891,0.595951,0.456247
0.399901,0.393020,-0.155152,0.005492,-0.009646,7.679507,0.633317,0.442015
0.499877,0.492994,-0.154651,0.004519,-0.009807,7.701835,0.674871,0.434616
0.599852,0.592968,-0.154248,0.003531,-0.009969,7.723883,0.716562,0.431965
0.699828,0.692943,-0.153946,0.002526,-0.010130,7.745654,0.731282,0.429216
0.799803,0.792918,-0.153744,0.001505,-0.010291,7.767154,0.734602,0.426992
0.899778,0.892894,-0.153645,0.000468,-0.010449,7.788388,0.738026,0.425085
0.999754,0.992869,-0.153651,-0.000584,-0.010608,7.809359,0.737208,0.423073
1.099729,1.092844,-0.153763,-0.001653,-0.010770,7.830074,0.729936,0.415857
1.199704,1.192820,-0.153982,-0.002738,-0.010939,7.850535,0.722774,0.407894
1.299680,1.292794,-0.154311,-0.003840,-0.011107,7.870747,0.715277,0.404538
1.399655,1.392769,-0.154750,-0.004959,-0.011264,7.890715,0.705119,0.428145
1.499630,1.492743,-0.155303,-0.006092,-0.011397,7.910443,0.695076,0.451627
1.599606,1.592716,-0.155969,-0.007238,-0.011530,7.907164,0.685272,0.467887
1.699581,1.692688,-0.156750,-0.008398,-0.011707,7.818649,0.688443,0.468111
1.799556,1.792659,-0.157649,-0.009581,-0.011973,7.729119,0.691732,0.468219
1.899532,1.892630,-0.158667,-0.010792,-0.012239,7.638539,0.695143,0.469679
1.999507,1.992598,-0.159807,-0.012026,-0.012342,7.546857,0.691377,0.473785
2.099483,2.092566,-0.161071,-0.013248,-0.012112,7.454024,0.687596,0.477767
2.199458,2.192532,-0.162455,-0.014448,-0.011882,7.359980,0.684379,0.478974
2.299433,2.292496,-0.163959,-0.015634,-0.012250,7.264706,0.690849,0.473762
