s,x,y,yaw,curvature,v_ref,width_left,width_right
0.000000000,-6.153133000,-3.318835000,-0.035083000,0.191279220,1.906081600,0.540114000,0.441301000
0.100039000,-6.053129000,-3.321412000,-0.016687000,0.176693769,1.889340800,0.556162000,0.430838000
0.200077000,-5.953094000,-3.322221000,0.000285000,0.162577047,1.857472000,0.570657000,0.410920000
0.300116000,-5.853060000,-3.321403000,0.015834000,0.147105242,1.828721600,0.579820000,0.392951000
0.400154000,-5.753048000,-3.319113000,0.029584000,0.126461650,1.801662400,0.574276000,0.376039000
0.500193000,-5.653074000,-3.315558000,0.041148000,0.104700420,1.776912000,0.567465000,0.360570000
0.600232000,-5.553141000,-3.310956000,0.050527000,0.084244696,1.756436800,0.559560000,0.347773000
0.700270000,-5.453251000,-3.305512000,0.058139000,0.069461873,1.751475200,0.544776000,0.344672000
0.800309000,-5.353401000,-3.299374000,0.064418000,0.056072432,1.747675200,0.528389000,0.342297000
0.900348000,-5.253587000,-3.292676000,0.069364000,0.048282811,1.748139200,0.511303000,0.342587000
1.000386000,-5.153807000,-3.285496000,0.074681000,0.064222387,1.759129600,0.501015000,0.349456000
1.100425000,-5.054074000,-3.277675000,0.082194000,0.085935414,1.771267200,0.492669000,0.357042000
1.200463000,-4.954413000,-3.268997000,0.091903000,0.105774606,1.788046400,0.483583000,0.367529000
1.300502000,-4.854850000,-3.259265000,0.103086000,0.115217995,1.812875200,0.476715000,0.383047000
1.400541000,-4.755405000,-3.248386000,0.114955000,0.122123334,1.839785600,0.470603000,0.399866000
1.500579000,-4.656101000,-3.236293000,0.127509000,0.135096207,1.861369600,0.463351000,0.413356000
1.600618000,-4.556969000,-3.222859000,0.142676000,0.175485176,1.875920000,0.457424000,0.422450000
1.700656000,-4.458089000,-3.207687000,0.162616000,0.223140957,1.893848000,0.452364000,0.433655000
1.800695000,-4.359574000,-3.190312000,0.187330000,0.264561097,1.908889600,0.445422000,0.443056000
1.900734000,-4.261553000,-3.170336000,0.214851000,0.278211693,1.895380800,0.434613000,0.452079000
2.000772000,-4.164126000,-3.147640000,0.242996000,0.284680501,1.868105600,0.417566000,0.464319000
2.100811000,-4.067385000,-3.122179000,0.271839000,0.306793951,1.836556800,0.397848000,0.507255000
2.200850000,-3.971473000,-3.093762000,0.306026000,0.395004496,1.805121600,0.378201000,0.565233000
2.300888000,-3.876761000,-3.061579000,0.350832000,0.499106620,1.729085000,0.369041000,0.633186000
2.400927000,-3.783778000,-3.024711000,0.405759000,0.621587434,1.654107000,0.356156000,0.672493000
2.500965000,-3.693272000,-2.982139000,0.478184000,0.868470012,1.654107000,0.341480000,0.726567000
2.601004000,-3.606820000,-2.931885000,0.580161000,1.181015975,1.654107000,0.345160000,0.800954000
2.701043000,-3.526922000,-2.871812000,0.714790000,1.431771969,1.654107000,0.341885000,0.799874000
2.801081000,-3.456423000,-2.800954000,0.857045000,1.301951901,1.654107000,0.350284000,0.829363000
2.901120000,-3.395708000,-2.721519000,0.975617000,1.081443734,1.713519176,0.370488000,0.836758000
3.001158000,-3.343915000,-2.635976000,1.074163000,0.904418366,1.770938725,0.373016000,0.793255000
3.101197000,-3.300059000,-2.546095000,1.157154000,0.756206009,1.800105600,0.375066000,0.769031000
3.201236000,-3.263118000,-2.453148000,1.225294000,0.604263180,1.803371200,0.377107000,0.735047000
3.301274000,-3.231857000,-2.358131000,1.278027000,0.465598782,1.799392000,0.374620000,0.687730000
3.401313000,-3.205053000,-2.261758000,1.320485000,0.408762361,1.816342400,0.385214000,0.650195000
3.501352000,-3.182211000,-2.164369000,1.359844000,0.378530609,1.827852800,0.392408000,0.615353000
3.601390000,-3.163072000,-2.066183000,1.396211000,0.348587251,1.838550400,0.399094000,0.582276000
3.701429000,-3.147368000,-1.967390000,1.429604000,0.318602118,1.872070400,0.420044000,0.554379000
3.801467000,-3.134820000,-1.868145000,1.459961000,0.288486886,1.901176000,0.438235000,0.539175000
3.901506000,-3.125141000,-1.768579000,1.487302000,0.259438293,1.926352000,0.453970000,0.532491000
4.001545000,-3.118049000,-1.668794000,1.512045000,0.237239416,1.947708800,0.467318000,0.528842000
4.101583000,-3.113327000,-1.568869000,1.534769000,0.217085102,1.965755200,0.478597000,0.533339000
4.201622000,-3.110776000,-1.468865000,1.555487000,0.197179987,1.980779200,0.487987000,0.541149000
4.301660000,-3.110198000,-1.368830000,1.574220000,0.177367637,1.987600000,0.492250000,0.549515000
4.401699000,-3.111395000,-1.268799000,1.590988000,0.157912807,1.987252800,0.492033000,0.553784000
4.501738000,-3.114172000,-1.168800000,1.605794000,0.138079811,1.984560000,0.490350000,0.559728000
4.601776000,-3.118330000,-1.068849000,1.618600000,0.117539630,1.979553600,0.487221000,0.565095000
4.701815000,-3.123663000,-0.968953000,1.629335000,0.097086720,1.971452800,0.482158000,0.570236000
4.801854000,-3.129966000,-0.869113000,1.638000000,0.076418375,1.961771200,0.476107000,0.576344000
4.901892000,-3.137032000,-0.769325000,1.644646000,0.056704926,1.950795200,0.469247000,0.583622000
5.001931000,-3.144664000,-0.669578000,1.649350000,0.037284052,1.938816000,0.461760000,0.591488000
5.101969000,-3.152668000,-0.569860000,1.652113000,0.017940601,1.926131200,0.453832000,0.599649000
5.202008000,-3.160851000,-0.470156000,1.652936000,-0.001493828,1.913043200,0.445652000,0.607900000
5.302047000,-3.169019000,-0.370452000,1.651815000,-0.020861301,1.899865600,0.437416000,0.616040000
5.402085000,-3.176979000,-0.270730000,1.648753000,-0.040479828,1.886920000,0.429325000,0.623873000
5.502124000,-3.184535000,-0.170978000,1.643708000,-0.060620628,1.874536000,0.421585000,0.631212000
5.602162000,-3.191486000,-0.071181000,1.636617000,-0.081210139,1.863059200,0.414412000,0.637867000
5.702201000,-3.197626000,0.028669000,1.627479000,-0.101776746,1.852846400,0.408029000,0.643660000
5.802240000,-3.202749000,0.128575000,1.616197000,-0.124236777,1.844265600,0.402666000,0.648417000
5.902278000,-3.206630000,0.228538000,1.602612000,-0.147359341,1.837715200,0.398572000,0.651960000
6.002317000,-3.209037000,0.328547000,1.586719000,-0.169991720,1.833622400,0.396014000,0.654120000
6.102356000,-3.209743000,0.428581000,1.568665000,-0.190160324,1.832412800,0.395258000,0.654744000
6.202394000,-3.208546000,0.528611000,1.548693000,-0.209097519,1.834480000,0.396550000,0.653706000
6.302433000,-3.205257000,0.628594000,1.526795000,-0.226957597,1.840209600,0.400131000,0.650887000
6.402471000,-3.199699000,0.728476000,1.503572000,-0.233566060,1.849948800,0.406218000,0.646159000
6.502510000,-3.191809000,0.828200000,1.480052000,-0.236698119,1.863838400,0.414899000,0.639439000
6.602549000,-3.181560000,0.927710000,1.456237000,-0.237574943,1.881806400,0.426129000,0.630694000
6.702587000,-3.168949000,1.026949000,1.432812000,-0.226195584,1.899566400,0.437229000,0.619841000
6.802626000,-3.154096000,1.125876000,1.410998000,-0.209886556,1.921281600,0.450801000,0.606243000
6.902664000,-3.137169000,1.224471000,1.390802000,-0.198057158,1.944553600,0.465346000,0.586937000
7.002703000,-3.118292000,1.322711000,1.370721000,-0.213336334,1.957227200,0.473267000,0.565684000
7.102742000,-3.097323000,1.420525000,1.348090000,-0.239071829,1.973875200,0.483672000,0.542452000
7.202780000,-3.074021000,1.517809000,1.322886000,-0.279571452,1.995644800,0.497278000,0.514192000
7.302819000,-3.048008000,1.614402000,1.289765000,-0.419457103,1.975006400,0.524915000,0.484379000
7.402858000,-3.017968000,1.709812000,1.238734000,-0.601158315,1.931124800,0.560843000,0.456953000
7.502896000,-2.982251000,1.803236000,1.169525000,-0.780062549,1.908692800,0.607244000,0.442933000
7.602935000,-2.939364000,1.893582000,1.082782000,-0.957109679,1.880120000,0.650682000,0.425075000
7.702973000,-2.888044000,1.979401000,0.977718000,-1.146865781,1.820706311,0.717362000,0.402849000
7.803012000,-2.827249000,2.058765000,0.853323000,-1.326763875,1.736333629,0.771798000,0.388737000
7.903051000,-2.756495000,2.129376000,0.713764000,-1.455752867,1.657624544,0.773128000,0.369306000
8.003089000,-2.676256000,2.188962000,0.560952000,-1.620827495,1.570947234,0.807096000,0.351944000
8.103128000,-2.587475000,2.234800000,0.388636000,-1.796180793,1.492295989,0.767004000,0.343218000
8.203166000,-2.491944000,2.264028000,0.207433000,-1.740797988,1.515848532,0.733792000,0.351569000
8.303205000,-2.392771000,2.276264000,0.039979000,-1.629605917,1.566710302,0.727666000,0.372600000
