s,x,y,yaw,curvature,v_ref,width_left,width_right
0.000000000,-6.163042000,-3.389873000,-0.004193000,0.265226000,3.549452000,0.604841000,0.369167000
0.149731000,-6.013380500,-3.385904500,0.021969000,0.174382000,3.702424500,0.608829500,0.350274500
0.299462000,-5.863719000,-3.381936000,0.048131000,0.083538000,3.855397000,0.612818000,0.331382000
0.449193500,-5.714187000,-3.374227500,0.046941000,-0.007949000,4.013455000,0.613623500,0.312452000
0.598925000,-5.564655000,-3.366519000,0.045751000,-0.099436000,4.171513000,0.614429000,0.293522000
0.748656000,-5.415031500,-3.360849500,0.041664000,-0.025363500,4.310327000,0.600493000,0.292421500
0.898387000,-5.265408000,-3.355180000,0.037577000,0.048709000,4.449141000,0.586557000,0.291321000
1.048118500,-5.115892000,-3.347330000,0.056245000,0.124577000,4.324845000,0.570913500,0.292888000
1.197850000,-4.966376000,-3.339480000,0.074913000,0.200445000,4.200549000,0.555270000,0.294455000
1.347581000,-4.817595500,-3.322959000,0.113370500,0.256616000,4.038554500,0.547779500,0.312697000
1.497312000,-4.668815000,-3.306438000,0.151828000,0.312787000,3.876560000,0.540289000,0.330939000
1.647043500,-4.522271000,-3.276085500,0.206981000,0.367627000,3.737413000,0.524061500,0.367851000
1.796775000,-4.375727000,-3.245733000,0.262134000,0.422467000,3.598266000,0.507834000,0.404763000
1.946506000,-4.234238500,-3.197124500,0.333899000,0.482098000,3.419884500,0.478596500,0.475863000
2.096237000,-4.092750000,-3.148516000,0.405664000,0.541729000,3.241503000,0.449359000,0.546963000
2.245968000,-3.961090000,-3.077647000,0.497384000,0.613198000,3.053787000,0.401596000,0.621502000
2.395699000,-3.829430000,-3.006778000,0.589104000,0.684667000,2.866071000,0.353833000,0.696041000
2.545430500,-3.714129000,-2.911635500,0.688407000,0.659903500,2.924009000,0.322630000,0.766399000
2.695162000,-3.598828000,-2.816493000,0.787710000,0.635140000,2.981947000,0.291427000,0.836757000
2.844893000,-3.503671500,-2.701161000,0.880266500,0.621363500,3.017148500,0.297085000,0.842704500
2.994624000,-3.408515000,-2.585829000,0.972823000,0.607587000,3.052350000,0.302743000,0.848652000
3.144355500,-3.335601000,-2.455267000,1.060111500,0.581851500,3.124862500,0.328528000,0.778806000
3.294087000,-3.262687000,-2.324705000,1.147400000,0.556116000,3.197375000,0.354313000,0.708960000
3.443818000,-3.212467500,-2.183814500,1.227382000,0.535895500,3.261686500,0.394034500,0.656880000
3.593549000,-3.162248000,-2.042924000,1.307364000,0.515675000,3.325998000,0.433756000,0.604800000
3.743280500,-3.133803500,-1.896040500,1.376379500,0.456431000,3.422390500,0.455712000,0.562189000
3.893012000,-3.105359000,-1.749157000,1.445395000,0.397187000,3.518783000,0.477668000,0.519578000
4.042743000,-3.094557500,-1.599877500,1.495473500,0.335321500,3.635071500,0.492453000,0.513732500
4.192474000,-3.083756000,-1.450598000,1.545552000,0.273456000,3.751360000,0.507238000,0.507887000
4.342205500,-3.085570500,-1.300910000,1.581524000,0.243099000,3.885670500,0.511651500,0.521202000
4.491937000,-3.087385000,-1.151222000,1.617496000,0.212742000,4.019981000,0.516065000,0.534517000
4.641668000,-3.098723500,-1.001940000,1.645230000,0.185233500,4.148832500,0.506797000,0.546646000
4.791399000,-3.110062000,-0.852658000,1.672964000,0.157725000,4.277684000,0.497529000,0.558775000
4.941130000,-3.128341000,-0.704055500,1.691358500,0.121835000,4.401641500,0.480184500,0.578076500
5.090861000,-3.146620000,-0.555453000,1.709753000,0.085945000,4.525599000,0.462840000,0.597378000
5.240592500,-3.168718500,-0.407362500,1.717081000,0.048956000,4.647017000,0.440979000,0.620385500
5.390324000,-3.190817000,-0.259272000,1.724409000,0.011967000,4.768435000,0.419118000,0.643393000
5.540055000,-3.213447500,-0.111261500,1.720679000,-0.024900000,4.729215500,0.396008000,0.665905000
5.689786000,-3.236078000,0.036749000,1.716949000,-0.061767000,4.689996000,0.372898000,0.688417000
5.839517500,-3.255967000,0.185147500,1.702195000,-0.098466500,4.478091000,0.352147000,0.707102500
5.989249000,-3.275856000,0.333546000,1.687441000,-0.135166000,4.266186000,0.331396000,0.725788000
6.138980000,-3.289426500,0.482640000,1.658239000,-0.199113000,4.078086500,0.316955500,0.737528000
6.288711000,-3.302997000,0.631734000,1.629037000,-0.263060000,3.889987000,0.302515000,0.749268000
6.438442500,-3.304786000,0.781393000,1.579322000,-0.331557000,3.738171500,0.298978000,0.749117000
6.588174000,-3.306575000,0.931052000,1.529607000,-0.400054000,3.586356000,0.295441000,0.748966000
6.737905000,-3.290452000,1.079789500,1.459163000,-0.473062000,3.407183000,0.311717000,0.737068000
6.887636000,-3.274329000,1.228527000,1.388719000,-0.546070000,3.228010000,0.327993000,0.725170000
7.037367000,-3.234171500,1.372545000,1.294834000,-0.626249000,3.023495500,0.365385500,0.700668000
7.187098000,-3.194014000,1.516563000,1.200949000,-0.706428000,2.818981000,0.402778000,0.676166000
7.336829500,-3.124670500,1.648890000,1.084214500,-0.786119500,2.674023000,0.474683500,0.636016000
7.486561000,-3.055327000,1.781217000,0.967480000,-0.865811000,2.529065000,0.546589000,0.595866000
7.636292000,-2.954302500,1.891012000,0.821434500,-0.974825500,2.384101500,0.619912000,0.527743500
